,Montreal,Vancouver,Ottawa,Toronto,Victoria,St. John's,Edmonton,Calgary,Moncton,Fredericton,Quebec,Regina,Saskatoon,Winnipeg,Halifax
2017-05-10,0,1,2,2,3,4,11,12,15,21,,,,,
2017-05-11,1,0,3,3,4,5,12,13,16,22,,,,,
2017-05-12,2,0,4,0,0,6,13,14,17,23,,,,,
2017-05-13,3,0,5,1,0,7,14,15,18,24,,,,,
2017-05-14,4,0,6,2,0,8,15,16,19,25,,,,,
2017-05-15,5,0,7,3,0,9,16,17,20,26,,,,,
2017-05-16,6,0,8,4,0,10,0,0,21,27,,,,,
2017-05-17,7,0,9,5,0,11,1,1,22,28,,,,,
2017-05-18,8,1,10,6,0,0,2,0,23,29,,,,,
2017-05-19,9,2,11,7,0,1,3,1,24,30,,,,,
2017-05-20,0,0,0,8,1,2,4,2,25,31,,,,,
2017-05-21,1,0,1,9,2,3,0,3,0,32,,,,,
2017-05-22,2,0,2,10,3,0,1,4,0,33,,,,,
2017-05-23,3,0,3,11,4,0,2,5,1,34,,,,,
2017-05-24,4,0,4,12,0,1,3,6,2,35,,,,,
2017-05-25,5,0,5,13,0,0,4,7,3,36,,,,,
2017-05-26,6,0,6,0,0,0,5,8,4,37,,,,,
2017-05-27,7,1,7,0,1,1,6,9,5,38,,,,,
2017-05-28,8,2,8,0,2,0,7,10,6,0,,,,,
2017-05-29,9,3,9,1,0,1,8,11,7,1,,,,,
2017-05-30,10,4,10,2,1,2,9,12,8,2,,,,,
2017-05-31,11,5,11,3,0,3,10,13,9,3,,,,,
2017-06-01,12,6,12,4,1,4,11,14,10,4,,,,,
2017-06-02,13,7,13,5,2,5,12,15,11,5,,,,,
2017-06-03,14,0,14,6,0,6,13,16,12,0,,,,,
2017-06-04,15,0,15,7,1,7,14,17,13,0,,,,,
2017-06-05,16,0,16,8,2,8,15,18,0,0,,,,,
2017-06-06,17,1,17,9,3,0,16,19,0,1,,,,,
2017-06-07,0,2,18,0,4,0,17,20,1,2,,,,,
2017-06-08,1,0,19,1,5,0,18,21,2,3,,,,,
2017-06-09,2,0,20,2,0,1,19,22,3,4,,,,,
2017-06-10,3,0,21,3,1,2,20,23,4,5,,,,,
2017-06-11,4,0,22,4,2,3,21,24,5,6,,,,,
2017-06-12,5,1,23,5,3,4,22,25,6,7,,,,,
2017-06-13,6,2,24,6,4,5,23,26,7,8,,,,,
2017-06-14,7,3,25,7,5,0,24,27,8,9,,,,,
2017-06-15,8,4,26,8,6,0,25,28,9,10,,,,,
2017-06-16,9,5,27,9,7,1,26,29,0,0,,,,,
2017-06-17,10,6,28,10,8,2,27,30,1,1,,,,,
2017-06-18,11,0,29,11,9,3,28,31,2,2,,,,,
2017-06-19,12,1,30,12,10,4,0,0,3,3,,,,,
2017-06-20,13,2,31,13,11,5,1,1,4,4,,,,,
2017-06-21,14,3,32,0,0,6,2,0,5,5,,,,,
2017-06-22,15,0,0,0,0,7,3,1,6,6,,,,,
2017-06-23,16,0,1,1,0,8,0,2,7,0,,,,,
2017-06-24,17,0,2,2,0,9,0,3,8,1,,,,,
2017-06-25,18,1,3,0,1,10,1,0,9,2,,,,,
2017-06-26,19,2,4,0,2,11,2,1,10,3,,,,,
2017-06-27,20,0,0,0,0,12,3,2,11,4,,,,,
2017-06-28,21,0,1,0,0,13,4,0,12,5,,,,,
2017-06-29,22,0,2,1,0,14,0,1,13,0,,,,,
2017-06-30,23,1,3,2,1,15,1,2,14,1,,,,,
2017-07-01,24,0,4,3,2,0,2,3,15,2,,,,,
2017-07-02,25,0,5,4,0,0,3,0,16,3,,,,,
2017-07-03,26,1,6,5,1,1,4,1,17,4,,,,,
2017-07-04,0,2,0,6,0,0,0,0,0,5,,,,,
2017-07-05,0,0,0,7,0,0,1,1,0,0,,,,,
2017-07-06,1,1,1,8,1,1,2,2,1,0,,,,,
2017-07-07,2,2,2,9,0,2,3,3,2,1,,,,,
2017-07-08,3,0,3,10,0,3,4,4,3,2,,,,,
2017-07-09,0,1,0,11,1,4,5,5,4,3,,,,,
2017-07-10,1,2,1,12,2,5,6,6,5,4,,,,,
2017-07-11,2,0,2,13,3,6,7,7,6,5,,,,,
2017-07-12,3,1,3,14,4,7,8,8,7,6,,,,,
2017-07-13,0,2,4,0,5,8,9,9,8,7,,,,,
2017-07-14,0,3,5,1,0,9,0,10,0,8,,,,,
2017-07-15,1,4,6,2,1,10,1,11,1,9,,,,,
2017-07-16,2,5,7,3,2,11,2,12,2,10,,,,,
2017-07-17,3,0,8,4,3,12,3,13,3,11,,,,,
2017-07-18,4,0,9,5,4,13,0,0,4,12,,,,,
2017-07-19,5,0,10,6,0,14,0,0,5,13,,,,,
2017-07-20,6,1,11,7,1,15,0,0,6,14,,,,,
2017-07-21,7,2,12,8,2,16,1,1,7,15,,,,,
2017-07-22,8,3,13,9,3,17,2,2,0,16,,,,,
2017-07-23,0,4,14,10,4,18,3,3,0,0,,,,,
2017-07-24,1,5,15,11,5,19,0,0,0,0,,,,,
2017-07-25,2,6,16,12,6,20,1,0,0,1,,,,,
2017-07-26,3,7,17,13,7,21,2,1,0,0,,,,,
2017-07-27,4,8,18,14,8,22,3,2,0,0,,,,,
2017-07-28,0,0,0,15,9,23,4,3,0,1,,,,,
